Cluster-1	total=29	enrichmentScore=3.0701007774592215	phaseStdDev=2.005629377762261	"Mitochondrion,Transit peptide,MitochondrionAnnotation Cluster 1"	Enrichment Score: 3.0701007774592215								
Cluster-2	total=34	enrichmentScore=2.4235147767215883	phaseStdDev=4.238013577950997	"Thioredoxin-like fold,glutathione metabolic process,glutathione peroxidase activity,Glutathione S-transferase, N-terminal,Glutathione S-transferase, C-terminal-like,glutathione transferase activity,Glutathione metabolism,Glutathione S-transferase, C-terminal,Metabolism of xenobiotics by cytochrome P450,Drug metabolism - cytochrome P450,GST C-terminal,GST N-terminal,Posttranslational modification, protein turnover, chaperonesAnnotation Cluster 2"	Enrichment Score: 2.4235147767215883								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR012336:Thioredoxin-like fold	19	2.737752161	6.67E-05	1.77181105	3.513990679	"FBtr0070233, FBtr0073067, FBtr0082607, FBtr0072084, FBtr0308841, FBtr0080465, FBtr0083503, FBtr0082572, FBtr0087744, FBtr0086136, FBtr0079095, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082570, FBtr0086671, FBtr0074242, FBtr0079840, FBtr0076622, FBtr0076766"	611	116	10984	2.944522829	0.07125584	0.073919505
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	10	1.44092219	5.53E-04	2.7673653	3.727615882	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0071832, FBtr0076622"	566	47	10996	4.133523795	0.528813558	0.678541006
GOTERM_MF_DIRECT	GO:0004602~glutathione peroxidase activity	8	1.152737752	9.31E-04	4.192174375	2.040581967	"FBtr0082572, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0073067, FBtr0082607, FBtr0082570, FBtr0086671"	507	30	9284	4.883103222	0.404244683	0.172561361
INTERPRO	"IPR004045:Glutathione S-transferase, N-terminal"	9	1.296829971	0.001148553	3.628427444	2.832797599	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0076622"	611	39	10984	4.148558479	0.720101546	0.565481429
INTERPRO	"IPR010987:Glutathione S-transferase, C-terminal-like"	10	1.44092219	0.001531087	3.3176339	2.844574074	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0075566, FBtr0076622"	611	50	10984	3.595417349	0.816903935	0.565481429
GOTERM_MF_DIRECT	GO:0004364~glutathione transferase activity	9	1.296829971	0.001681331	3.628427444	2.832797599	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0076622"	507	42	9284	3.923922232	0.607652335	0.233705045
KEGG_PATHWAY	dme00480:Glutathione metabolism	12	1.729106628	0.001767514	2.9323735	3.773384859	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0073067, FBtr0074748, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0071832, FBtr0345229"	179	62	2737	2.959452154	0.156193029	0.165460429
INTERPRO	"IPR004046:Glutathione S-transferase, C-terminal"	8	1.152737752	0.00320628	3.779110125	2.970435589	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671"	611	36	10984	3.994908165	0.971511823	0.888139669
KEGG_PATHWAY	dme00980:Metabolism of xenobiotics by cytochrome P450	11	1.585014409	0.005170638	3.503621	3.023972978	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0082376, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0100589, FBtr0082378"	179	61	2737	2.757303782	0.392053887	0.165460429
KEGG_PATHWAY	dme00982:Drug metabolism - cytochrome P450	11	1.585014409	0.005170638	3.503621	3.023972978	"FBtr0082572, FBtr0087744, FBtr0086676, FBtr0082376, FBtr0086675, FBtr0086674, FBtr0082607, FBtr0082570, FBtr0086671, FBtr0100589, FBtr0082378"	179	61	2737	2.757303782	0.392053887	0.165460429
UP_SEQ_FEATURE	domain:GST C-terminal	4	0.576368876	0.043418461	4.6919125	2.595617343	"FBtr0082572, FBtr0082607, FBtr0082570, FBtr0075566"	196	13	3113	4.886970173	1	1
UP_SEQ_FEATURE	domain:GST N-terminal	3	0.432276657	0.148060463	6.082386	1.117723715	"FBtr0082572, FBtr0082607, FBtr0082570"	196	11	3113	4.331632653	1	1
COG_ONTOLOGY	"Posttranslational modification, protein turnover, chaperones"	14	2.017291066	0.31564495	-0.191587	4.723638156	"FBtr0290256, FBtr0078060, FBtr0084458, FBtr0082572, FBtr0087744, FBtr0086676, FBtr0086675, FBtr0079255, FBtr0086674, FBtr0086671, FBtr0077189, FBtr0070127, FBtr0072755, FBtr0076622"	101	138	1239	1.244511408	0.999947842	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0345229	Dip-B-RD	2.31513	0.009609	2.2	FlyBase Dip-B-RD	Figure for Dip-B-RD							
FBtr0082376	Ugt86De-RA	2.710392	0	22.9	FlyBase Ugt86De-RA	Figure for Ugt86De-RA							
FBtr0082607	GstD1-RA	0.96603	0.048926	5.2	FlyBase GstD1-RA	Figure for GstD1-RA							
FBtr0082378	Ugt86Di-RA	1.194727	0.02813	3.2	FlyBase Ugt86Di-RA	Figure for Ugt86Di-RA							
FBtr0308841	l(2)01289-RL	0.263295	0.051356	19.4	FlyBase l(2)01289-RL	Figure for l(2)01289-RL							
FBtr0080465	CG6523-RA	1.182318	0.02585	22.2	FlyBase CG6523-RA	Figure for CG6523-RA							
FBtr0078060	shv-RA	0.815905	0.051356	23.3	FlyBase shv-RA	Figure for shv-RA							
FBtr0074748	Zw-RA	0.865921	0.034063	7.7	FlyBase Zw-RA	Figure for Zw-RA							
FBtr0070127	SkpA-RC	1.108338	0.043022	20.7	FlyBase SkpA-RC	Figure for SkpA-RC							
FBtr0087744	GstE14-RA	1.104069	0.013115	20.7	FlyBase GstE14-RA	Figure for GstE14-RA							
FBtr0072755	ABCB7-RB	0.811086	0.039622	22.1	FlyBase ABCB7-RB	Figure for ABCB7-RB							
FBtr0070233	CG3719-RA	1.400801	0.016774	23.2	FlyBase CG3719-RA	Figure for CG3719-RA							
FBtr0072084	mRpL43-RA	0.976986	0.040178	22.6	FlyBase mRpL43-RA	Figure for mRpL43-RA							
FBtr0074242	CG9911-RB	0.935037	0.037522	3.1	FlyBase CG9911-RB	Figure for CG9911-RB							
FBtr0084458	CG10375-RA	0.417556	0.039622	0.1	FlyBase CG10375-RA	Figure for CG10375-RA							
FBtr0086136	l(2)01289-RA	0.966892	0.031037	7.1	FlyBase l(2)01289-RA	Figure for l(2)01289-RA							
FBtr0076622	GstO3-RA	2.531253	0.009609	2.4	FlyBase GstO3-RA	Figure for GstO3-RA							
FBtr0083503	Prx3-RA	0.565094	0.042671	0.2	FlyBase Prx3-RA	Figure for Prx3-RA							
FBtr0076766	CG8042-RA	2.903664	0.008018	20.7	FlyBase CG8042-RA	Figure for CG8042-RA							
FBtr0079255	CG9507-RA	1.512561	0.005379	19.1	FlyBase CG9507-RA	Figure for CG9507-RA							
FBtr0082572	GstD5-RA	0.809602	0.041578	7.7	FlyBase GstD5-RA	Figure for GstD5-RA							
FBtr0082570	GstD3-RA	1.415453	0.030408	5.4	FlyBase GstD3-RA	Figure for GstD3-RA							
FBtr0079095	cl-RA	1.010088	0.011589	23.7	FlyBase cl-RA	Figure for cl-RA							
FBtr0100589	Adh-RC	1.038595	0.042001	6.3	FlyBase Adh-RC	Figure for Adh-RC							
FBtr0071832	CG4752-RA	0.911723	0.029055	19	FlyBase CG4752-RA	Figure for CG4752-RA							
FBtr0086674	GstE6-RA	1.352557	0.029055	4.3	FlyBase GstE6-RA	Figure for GstE6-RA							
FBtr0086675	GstE7-RA	1.420305	0.024683	4.1	FlyBase GstE7-RA	Figure for GstE7-RA							
FBtr0086676	GstE8-RA	1.981458	0.016774	3.6	FlyBase GstE8-RA	Figure for GstE8-RA							
FBtr0086671	GstE3-RA	1.701857	0.028494	3.2	FlyBase GstE3-RA	Figure for GstE3-RA							
FBtr0290256	yki-RD	0.668919	0.039622	12.5	FlyBase yki-RD	Figure for yki-RD							
FBtr0075566	AIMP2-RB	2.185726	0.014377	0.5	FlyBase AIMP2-RB	Figure for AIMP2-RB							
FBtr0077189	Rpt6-RA	0.894569	0.031588	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0073067	PHGPx-RA	0.909519	0.035105	24	FlyBase PHGPx-RA	Figure for PHGPx-RA							
FBtr0079840	Trx-2-RA	1.767768	0.014377	4.5	FlyBase Trx-2-RA	Figure for Trx-2-RA							
													
Cluster-3	total=79	enrichmentScore=1.8377916794434943	phaseStdDev=5.3609266581518495	"protein kinase activity,Kinase,protein phosphorylation,Protein kinase-like domain,Serine/threonine-protein kinase, active site,S_TKc,Protein kinase, catalytic domain,protein serine/threonine kinase activity,Protein kinase, ATP binding site,ATP binding,Nucleotide-binding,ATP-binding,Serine/threonine-protein kinaseAnnotation Cluster 3"	Enrichment Score: 1.8377916794434943								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	21	3.025936599	2.32E-04	1.604106808	6.383024548	"FBtr0110922, FBtr0073697, FBtr0300379, FBtr0072320, FBtr0112788, FBtr0343286, FBtr0299582, FBtr0336459, FBtr0340120, FBtr0343377, FBtr0072470, FBtr0300982, FBtr0299929, FBtr0082535, FBtr0333673, FBtr0334640, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0330700, FBtr0333914, FBtr0334748, FBtr0336705, FBtr0333753, FBtr0079437, FBtr0071313"	507	153	9284	2.513361952	0.120903818	0.128846034
UP_KEYWORDS	Kinase	28	4.034582133	5.31E-04	1.180041	6.400670498	"FBtr0089084, FBtr0110922, FBtr0300379, FBtr0072320, FBtr0081638, FBtr0112788, FBtr0339440, FBtr0072064, FBtr0343583, FBtr0333220, FBtr0299582, FBtr0336459, FBtr0340120, FBtr0343377, FBtr0072470, FBtr0340240, FBtr0302662, FBtr0300982, FBtr0299929, FBtr0082535, FBtr0334543, FBtr0333673, FBtr0334640, FBtr0335276, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0333914, FBtr0334748, FBtr0333753, FBtr0079437, FBtr0299893, FBtr0071313"	694	273	13921	2.057341314	0.124704395	0.01796159
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	25	3.602305476	0.005323528	0.978649379	6.545744493	"FBtr0089084, FBtr0110922, FBtr0300379, FBtr0072320, FBtr0112920, FBtr0343286, FBtr0299582, FBtr0336459, FBtr0340120, FBtr0343377, FBtr0072470, FBtr0304964, FBtr0300982, FBtr0299929, FBtr0082535, FBtr0334543, FBtr0333673, FBtr0335276, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0330700, FBtr0333914, FBtr0334748, FBtr0336705, FBtr0079638, FBtr0333753, FBtr0079437, FBtr0071313"	566	266	10996	1.825898669	0.999300172	1
INTERPRO	IPR011009:Protein kinase-like domain	28	4.034582133	0.006972678	0.627167824	6.418344469	"FBtr0089084, FBtr0110922, FBtr0073697, FBtr0300379, FBtr0072320, FBtr0112788, FBtr0072064, FBtr0343286, FBtr0084852, FBtr0083560, FBtr0299582, FBtr0340120, FBtr0343377, FBtr0072470, FBtr0300982, FBtr0085922, FBtr0299929, FBtr0082535, FBtr0085921, FBtr0334543, FBtr0333673, FBtr0334640, FBtr0333697, FBtr0335276, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0330700, FBtr0333914, FBtr0334748, FBtr0336705, FBtr0333753, FBtr0079437, FBtr0071313"	611	294	10984	1.712103499	0.999570457	1
INTERPRO	"IPR008271:Serine/threonine-protein kinase, active site"	16	2.305475504	0.016480305	1.796051095	6.75708712	"FBtr0110922, FBtr0300379, FBtr0340120, FBtr0343377, FBtr0112788, FBtr0072470, FBtr0300982, FBtr0299929, FBtr0082535, FBtr0334543, FBtr0333673, FBtr0334640, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0333914, FBtr0334748, FBtr0336705, FBtr0299582, FBtr0333753, FBtr0071313"	611	147	10984	1.956689714	0.99999999	1
SMART	SM00220:S_TKc	17	2.449567723	0.021134915	1.598206909	6.66369576	"FBtr0110922, FBtr0300379, FBtr0072320, FBtr0340120, FBtr0343377, FBtr0112788, FBtr0072470, FBtr0300982, FBtr0299929, FBtr0082535, FBtr0334543, FBtr0333673, FBtr0334640, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0333914, FBtr0334748, FBtr0336705, FBtr0299582, FBtr0333753, FBtr0071313"	289	167	5218	1.837971117	0.993106794	1
INTERPRO	"IPR000719:Protein kinase, catalytic domain"	21	3.025936599	0.022341259	1.767052538	6.52255583	"FBtr0110922, FBtr0089084, FBtr0300379, FBtr0072320, FBtr0112788, FBtr0343286, FBtr0299582, FBtr0340120, FBtr0343377, FBtr0072470, FBtr0300982, FBtr0299929, FBtr0082535, FBtr0334543, FBtr0333673, FBtr0334640, FBtr0335276, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0333914, FBtr0334748, FBtr0336705, FBtr0333753, FBtr0079437, FBtr0071313"	611	222	10984	1.700535232	1	1
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	16	2.305475504	0.022877733	0.85404355	6.98763731	"FBtr0110922, FBtr0300379, FBtr0343377, FBtr0112788, FBtr0112920, FBtr0072470, FBtr0300982, FBtr0299929, FBtr0082535, FBtr0334543, FBtr0333673, FBtr0334640, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0333914, FBtr0299582, FBtr0333753, FBtr0079437, FBtr0336459"	507	156	9284	1.878116624	0.99999742	1
INTERPRO	"IPR017441:Protein kinase, ATP binding site"	16	2.305475504	0.039160061	1.345576667	6.735260376	"FBtr0110922, FBtr0089084, FBtr0300379, FBtr0340120, FBtr0343377, FBtr0112788, FBtr0072470, FBtr0299929, FBtr0082535, FBtr0334543, FBtr0333673, FBtr0334640, FBtr0335276, FBtr0302185, FBtr0334482, FBtr0333218, FBtr0333914, FBtr0334748, FBtr0299582, FBtr0333753, FBtr0071313"	611	164	10984	1.753862121	1	1
GOTERM_MF_DIRECT	GO:0005524~ATP binding	53	7.636887608	0.04176439	-0.160585776	5.441323657	"FBtr0073434, FBtr0300555, FBtr0072064, FBtr0343286, FBtr0310323, FBtr0334895, FBtr0082594, FBtr0080331, FBtr0078413, FBtr0340120, FBtr0089553, FBtr0071280, FBtr0346308, FBtr0300982, FBtr0299929, FBtr0333673, FBtr0336666, FBtr0334640, FBtr0334482, FBtr0333914, FBtr0336705, FBtr0333753, FBtr0079437, FBtr0071313, FBtr0345640, FBtr0089084, FBtr0110922, FBtr0300379, FBtr0072320, FBtr0081638, FBtr0112788, FBtr0075958, FBtr0339440, FBtr0343583, FBtr0081162, FBtr0077189, FBtr0299582, FBtr0072755, FBtr0072117, FBtr0336459, FBtr0343377, FBtr0110973, FBtr0089451, FBtr0113205, FBtr0072470, FBtr0302662, FBtr0089734, FBtr0082535, FBtr0334543, FBtr0307552, FBtr0335276, FBtr0302185, FBtr0087594, FBtr0333218, FBtr0331635, FBtr0070568, FBtr0334748, FBtr0076106"	507	751	9284	1.292299288	1	1
UP_KEYWORDS	Nucleotide-binding	45	6.484149856	0.065673511	-0.399191479	5.209239157	"FBtr0073434, FBtr0345640, FBtr0089084, FBtr0110922, FBtr0300555, FBtr0300379, FBtr0075517, FBtr0075958, FBtr0072064, FBtr0343583, FBtr0073151, FBtr0086701, FBtr0334895, FBtr0084399, FBtr0077189, FBtr0078413, FBtr0072117, FBtr0072755, FBtr0336459, FBtr0071168, FBtr0076715, FBtr0340120, FBtr0110973, FBtr0089451, FBtr0113205, FBtr0072470, FBtr0071280, FBtr0302662, FBtr0089553, FBtr0300982, FBtr0299929, FBtr0089734, FBtr0084755, FBtr0334543, FBtr0333673, FBtr0307552, FBtr0335276, FBtr0302185, FBtr0334482, FBtr0087594, FBtr0333218, FBtr0088264, FBtr0331635, FBtr0333914, FBtr0076106, FBtr0079437, FBtr0299893, FBtr0071313"	694	701	13921	1.287672613	0.999999961	0.502084583
UP_KEYWORDS	ATP-binding	36	5.187319885	0.095436568	0.126949744	5.323647281	"FBtr0073434, FBtr0345640, FBtr0089084, FBtr0110922, FBtr0300555, FBtr0300379, FBtr0075958, FBtr0072064, FBtr0343583, FBtr0334895, FBtr0077189, FBtr0078413, FBtr0072117, FBtr0072755, FBtr0336459, FBtr0340120, FBtr0110973, FBtr0089451, FBtr0113205, FBtr0072470, FBtr0071280, FBtr0302662, FBtr0089553, FBtr0300982, FBtr0299929, FBtr0089734, FBtr0334543, FBtr0333673, FBtr0307552, FBtr0335276, FBtr0302185, FBtr0334482, FBtr0087594, FBtr0333218, FBtr0331635, FBtr0333914, FBtr0076106, FBtr0079437, FBtr0071313"	694	558	13921	1.294134052	1	0.665249018
UP_KEYWORDS	Serine/threonine-protein kinase	10	1.44092219	0.154233011	2.940804154	5.472969126	"FBtr0110922, FBtr0300379, FBtr0340120, FBtr0072470, FBtr0300982, FBtr0299929, FBtr0333673, FBtr0302185, FBtr0333218, FBtr0333914, FBtr0079437, FBtr0071313, FBtr0336459"	694	122	13921	1.644186706	1	0.850074967
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0330700	Slob-RD	1.616749	0.009609	15.1	FlyBase Slob-RD	Figure for Slob-RD							
FBtr0334543	Pak-RI	0.699481	0.045606	13.1	FlyBase Pak-RI	Figure for Pak-RI							
FBtr0075958	vih-RA	0.2849	0.042263	21.2	FlyBase vih-RA	Figure for vih-RA							
FBtr0299582	Tlk-RH	1.802433	0.009609	10.4	FlyBase Tlk-RH	Figure for Tlk-RH							
FBtr0079638	CG8475-RA	1.155578	0.035105	0.6	FlyBase CG8475-RA	Figure for CG8475-RA							
FBtr0300982	bsk-RE	1.015618	NOTEST	0.2	FlyBase bsk-RE	Figure for bsk-RE							
FBtr0078413	AcCoAS-RA	0.814103	0.034536	6	FlyBase AcCoAS-RA	Figure for AcCoAS-RA							
FBtr0076715	Arl5-RA	0.206347	0.040967	22.5	FlyBase Arl5-RA	Figure for Arl5-RA							
FBtr0300379	CaMKII-RJ	2.311701	0.008018	22.2	FlyBase CaMKII-RJ	Figure for CaMKII-RJ							
FBtr0343377	Cdc7-RB	0.910224	0.050781	5.4	FlyBase Cdc7-RB	Figure for Cdc7-RB							
FBtr0087594	PheRS-m-RA	1.817156	0.008018	22.5	FlyBase PheRS-m-RA	Figure for PheRS-m-RA							
FBtr0346308	Fpgs-RB	0.184576	0.049238	17.1	FlyBase Fpgs-RB	Figure for Fpgs-RB							
FBtr0333753	Tlk-RM	0.370866	0.044367	14.8	FlyBase Tlk-RM	Figure for Tlk-RM							
FBtr0082594	CG5641-RA	1.129723	0.040404	19.9	FlyBase CG5641-RA	Figure for CG5641-RA							
FBtr0299893	Pka-R1-RO	0.848964	0.034063	5.8	FlyBase Pka-R1-RO	Figure for Pka-R1-RO							
FBtr0333220	Mkp3-RD	0.958904	0.035105	6.7	FlyBase Mkp3-RD	Figure for Mkp3-RD							
FBtr0081162	AsnRS-RA	1.068807	0.037102	1.1	FlyBase AsnRS-RA	Figure for AsnRS-RA							
FBtr0072755	ABCB7-RB	0.811086	0.039622	22.1	FlyBase ABCB7-RB	Figure for ABCB7-RB							
FBtr0072064	Pi3K59F-RA	1.283788	0.031037	21.1	FlyBase Pi3K59F-RA	Figure for Pi3K59F-RA							
FBtr0084399	fzo-RA	1.09296	0.041225	15.2	FlyBase fzo-RA	Figure for fzo-RA							
FBtr0086701	Pepck-RA	0.545392	0.042001	18	FlyBase Pepck-RA	Figure for Pepck-RA							
FBtr0343286	Unc-89-RG	1.118716	0.029757	0.6	FlyBase Unc-89-RG	Figure for Unc-89-RG							
FBtr0080331	ThrRS-RB	1.11747	0.013115	20.7	FlyBase ThrRS-RB	Figure for ThrRS-RB							
FBtr0079437	ninaC-RA	2.628441	0.008018	10.4	FlyBase ninaC-RA	Figure for ninaC-RA							
FBtr0084755	beta4GalT7-RA	1.136946	0.03296	18.8	FlyBase beta4GalT7-RA	Figure for beta4GalT7-RA							
FBtr0345640	LeuRS-RB	0.976584	0.042263	0.7	FlyBase LeuRS-RB	Figure for LeuRS-RB							
FBtr0070568	CG10802-RA	1.003974	0.038871	21	FlyBase CG10802-RA	Figure for CG10802-RA							
FBtr0343583	l(1)G0196-RP	1.692279	0	20.3	FlyBase l(1)G0196-RP	Figure for l(1)G0196-RP							
FBtr0302662	rdgA-RC	0.455241	0.037102	3.1	FlyBase rdgA-RC	Figure for rdgA-RC							
FBtr0085922	CG2201-RC	2.092597	0.018529	22.9	FlyBase CG2201-RC	Figure for CG2201-RC							
FBtr0340240	Akap200-RF	-0.353874	0.042001	15.2	FlyBase Akap200-RF	Figure for Akap200-RF							
FBtr0071280	l(1)G0020-RA	1.401382	0.030408	21.8	FlyBase l(1)G0020-RA	Figure for l(1)G0020-RA							
FBtr0073151	Scsalpha-RA	0.497077	0.048636	20.5	FlyBase Scsalpha-RA	Figure for Scsalpha-RA							
FBtr0335276	Src42A-RB	2.622639	0.005379	4.7	FlyBase Src42A-RB	Figure for Src42A-RB							
FBtr0085921	CG2201-RA	1.882414	0.014377	13.9	FlyBase CG2201-RA	Figure for CG2201-RA							
FBtr0340120	Dsor1-RB	0.816847	0.035493	23.6	FlyBase Dsor1-RB	Figure for Dsor1-RB							
FBtr0089084	Eph-RC	-0.361779	0.049729	19.1	FlyBase Eph-RC	Figure for Eph-RC							
FBtr0331635	CG5853-RB	0.200863	0.03836	16.9	FlyBase CG5853-RB	Figure for CG5853-RB							
FBtr0083560	CG14314-RA	2.312259	0.011589	22.5	FlyBase CG14314-RA	Figure for CG14314-RA							
FBtr0075517	Arl1-RA	1.27307	0	0.5	FlyBase Arl1-RA	Figure for Arl1-RA							
FBtr0300555	PMCA-RJ	0.806711	0.036061	1.3	FlyBase PMCA-RJ	Figure for PMCA-RJ							
FBtr0336666	Trap1-RB	0.644515	0.042263	20.9	FlyBase Trap1-RB	Figure for Trap1-RB							
FBtr0307552	Mccc1-RD	0.508629	0.053786	20.1	FlyBase Mccc1-RD	Figure for Mccc1-RD							
FBtr0071313	Dsor1-RA	0.838371	0.036061	11.2	FlyBase Dsor1-RA	Figure for Dsor1-RA							
